nombre,poblacion,superficie,continente
Argentina,45789822,2,America
Japon,125800000,377975,Asia
Brasil,213993437,8515767,America
Alemania,83149300,357022,Europa
China,1412360000,9596961,Asia
Estados Unidos,331893745,9833520,America
India,1380004385,3287263,Asia
Francia,67391582,643801,Europa
Italia,59554023,301336,Europa
Espana,47351567,505990,Europa
Mexico,126014024,1964375,America
Canada,38005238,9984670,America
Australia,25687041,7692024,Oceania
Sudafrica,59308690,1221037,Africa
Egipto,102334404,1002450,Africa
Nigeria,206139589,923768,Africa
Reino Unido,67081000,242495,Europa
Rusia,145912025,17098242,Europa
Corea del Sur,51780579,100210,Asia
Indonesia,273523615,1904569,Asia
